session_id,phase_id,E,lib_size,n_obs,rho_reward_causes_choice,rho_choice_causes_reward
mmgkzukxb91bym,1,2,20,200,0.30126100000000006,0.0158665
mmgkzukxb91bym,1,2,62,200,0.3696765,0.1014805
mmgkzukxb91bym,1,2,105,200,0.4279155,0.130686
mmgkzukxb91bym,1,2,147,200,0.4516000000000001,0.11654849999999999
mmgkzukxb91bym,1,2,190,200,0.46089250000000004,0.12585049999999998
mmgkzukxb91bym,2,3,20,200,0.14591500000000004,0.08035
mmgkzukxb91bym,2,3,62,200,0.2822615,0.06605599999999999
mmgkzukxb91bym,2,3,105,200,0.318167,0.10630500000000001
mmgkzukxb91bym,2,3,147,200,0.31666099999999997,0.15022600000000003
mmgkzukxb91bym,2,3,190,200,0.37558349999999996,0.1833845
mmgkzukxb91bym,3,2,20,200,0.578362,0.586689
mmgkzukxb91bym,3,2,62,200,0.6133935,0.6509745
mmgkzukxb91bym,3,2,105,200,0.614144,0.6955125
mmgkzukxb91bym,3,2,147,200,0.6210135,0.715692
mmgkzukxb91bym,3,2,190,200,0.623643,0.7312550000000001
mmgkzukxb91bym,4,2,20,200,0.11731099999999998,0.214111
mmgkzukxb91bym,4,2,62,200,0.166395,0.3386495
mmgkzukxb91bym,4,2,105,200,0.24313099999999999,0.4285605
mmgkzukxb91bym,4,2,147,200,0.27872,0.44074999999999986
mmgkzukxb91bym,4,2,190,200,0.32941650000000006,0.453132
mmglwqjl2idcz3,1,3,20,125,0.364271,0.31268050000000003
mmglwqjl2idcz3,1,3,43,125,0.4736715,0.33367399999999997
mmglwqjl2idcz3,1,3,67,125,0.49976999999999994,0.3565685
mmglwqjl2idcz3,1,3,91,125,0.5143329999999999,0.35102399999999995
mmglwqjl2idcz3,1,3,115,125,0.5239425,0.36328999999999995
mmglwqjl2idcz3,2,2,20,164,0.7477455000000001,0.691894
mmglwqjl2idcz3,2,2,53,164,0.793452,0.709856
mmglwqjl2idcz3,2,2,87,164,0.7646135000000001,0.713089
mmglwqjl2idcz3,2,2,120,164,0.818867,0.708843
mmglwqjl2idcz3,2,2,154,164,0.831156,0.701122
mmglwqjl2idcz3,3,2,20,172,0.6361104999999999,0.5710955
mmglwqjl2idcz3,3,2,55,172,0.845378,0.5678135
mmglwqjl2idcz3,3,2,91,172,0.8677589999999998,0.5795454999999999
mmglwqjl2idcz3,3,2,126,172,0.8673565,0.5935215000000001
mmglwqjl2idcz3,3,2,162,172,0.8802225,0.6053909999999999
mmglwqjl2idcz3,4,2,20,122,0.16791199999999998,0.11441500000000002
mmglwqjl2idcz3,4,2,43,122,0.260144,0.1852155
mmglwqjl2idcz3,4,2,66,122,0.327057,0.22899399999999998
