session_id,cluster,prob_cluster_0,prob_cluster_1
mmgkzukxb91bym,0,1.0,0.0
mmglwqjl2idcz3,1,1.5181892085546596e-35,1.0
mmgnnwif7rgnag,0,1.0,0.0
mmgp4bc84vs4qt,0,1.0,0.0
mmgp4tj5hwk1cr,0,1.0,0.0
mmgp5kmoz5itw5,1,6.061694833300432e-103,1.0
mmgp92mez7ni28,0,1.0,0.0
mmgp978syi159c,0,1.0,0.0
mmgp9zmmm2qlbz,0,1.0,0.0
mmgpaypnopkm1q,0,1.0,0.0
mmgpciu4e2yunz,0,1.0,0.0
mmgpgi4g1jzpv2,0,1.0,0.0
mmgpiq4ct3r8s1,0,1.0,0.0
mmgpqa16u4u07b,0,1.0,0.0
mmgpy8l4xh9nto,0,1.0,0.0
mmgq3qouddjc6z,0,1.0,0.0
mmgqyc7ozjls4u,0,1.0,0.0
mmgr4s188ypj5i,0,1.0,0.0
mmgr4wtlfg07a6,0,1.0,0.0
mmgr8c41csnx7y,0,1.0,0.0
mmh0l2c7syhpy7,0,1.0,0.0
mmh0l48d4j1y4y,0,1.0,0.0
mmh0le5hn8utpd,0,1.0,0.0
mmh0lgop76n6ez,0,1.0,0.0
mmh0lku3ip54e4,0,1.0,0.0
mmh0lpcdm9wdcu,1,1.4286291307069786e-64,1.0
mmh0m3latwun95,0,1.0,0.0
mmh0mm0schxk59,0,1.0,0.0
mmh0mmptqfyu87,1,3.813456016271476e-15,0.9999999999999964
mmh0nnjg95y0zn,0,1.0,0.0
mmh0ocgvf4p325,0,1.0,0.0
mmh0opq734nw1a,0,1.0,0.0
mmh0ozswma6i3j,0,1.0,0.0
mmh0pa4lgnz2nd,0,1.0,0.0
mmh0pj6zqdvwmg,0,1.0,0.0
mmh0pjhqfbciu8,0,1.0,0.0
mmh0puch6r88f0,0,1.0,0.0
mmh0r154h7irg3,0,1.0,0.0
mmh0r34rqnesgg,0,1.0,0.0
mmh0rqn6g1cadb,0,1.0,0.0
mmh0tro0khha5x,0,1.0,0.0
mmh0uacrkmrg83,0,1.0,0.0
mmh0ueb9o9dis7,0,1.0,0.0
mmh0vbvu4yn6l1,0,1.0,0.0
mmh0vh7gck5q8n,0,1.0,0.0
mmh0wavycmn4y3,0,1.0,0.0
mmh0x9u4kgtvxn,0,1.0,0.0
mmh0yegg0emahk,0,1.0,0.0
mmh115pr1lsvkw,0,1.0,0.0
mmh16ou0ocswzc,0,1.0,0.0
mmh19xdl74m2p5,0,1.0,0.0
mmh1cyh0ahaw8s,0,1.0,0.0
mmh1eq07kkdfkw,0,1.0,0.0
mmh1jfrxrszco0,1,2.748143843654541e-18,1.0
mmh1qje9negjr0,0,1.0,0.0
mmh1sestgp7zew,0,1.0,0.0
mmh1tezp242ppu,0,1.0,0.0
mmh1wzqpu4iob1,0,1.0,0.0
mmh250jg0prrne,0,1.0,0.0
mmh28cu87aoonk,0,1.0,0.0
mmjs6b0lllgkvm,0,1.0,0.0
