session_id,best_E,rho,n_points
mmgkzukxb91bym,3,,200
mmglwqjl2idcz3,2,,200
mmgnnwif7rgnag,1,,200
mmgp4bc84vs4qt,5,,200
mmgp4tj5hwk1cr,1,,200
mmgp5kmoz5itw5,2,,200
mmgp92mez7ni28,4,,200
mmgp978syi159c,2,,200
mmgp9zmmm2qlbz,5,,200
mmgpaypnopkm1q,4,,200
mmgpciu4e2yunz,2,,200
mmgpgi4g1jzpv2,4,,200
mmgpiq4ct3r8s1,2,,200
mmgpqa16u4u07b,1,,200
mmgpy8l4xh9nto,1,,200
mmgq3qouddjc6z,1,,200
mmgqyc7ozjls4u,2,,200
mmgr4s188ypj5i,5,,200
mmgr4wtlfg07a6,4,,200
mmgr8c41csnx7y,2,,200
mmh0l2c7syhpy7,2,,200
mmh0l48d4j1y4y,1,,200
mmh0le5hn8utpd,2,,200
mmh0lgop76n6ez,1,,200
mmh0lku3ip54e4,1,,200
mmh0lpcdm9wdcu,2,,200
mmh0m3latwun95,3,,200
mmh0mm0schxk59,1,,200
mmh0mmptqfyu87,6,,200
mmh0nnjg95y0zn,5,,200
mmh0ocgvf4p325,5,,200
mmh0opq734nw1a,2,,200
mmh0ozswma6i3j,3,,200
mmh0pa4lgnz2nd,1,,200
mmh0pj6zqdvwmg,5,,200
mmh0pjhqfbciu8,1,,200
mmh0puch6r88f0,2,,200
mmh0r154h7irg3,3,,200
mmh0r34rqnesgg,4,,200
mmh0rqn6g1cadb,1,,200
mmh0tro0khha5x,2,,200
mmh0uacrkmrg83,3,,200
mmh0ueb9o9dis7,1,,200
mmh0vbvu4yn6l1,3,,200
mmh0vh7gck5q8n,5,,200
mmh0wavycmn4y3,3,,200
mmh0x9u4kgtvxn,2,,200
mmh0yegg0emahk,1,,200
mmh115pr1lsvkw,1,,200
mmh16ou0ocswzc,4,,200
mmh19xdl74m2p5,1,,200
mmh1cyh0ahaw8s,5,,200
mmh1eq07kkdfkw,3,,200
mmh1jfrxrszco0,1,,200
mmh1qje9negjr0,2,,200
mmh1sestgp7zew,2,,200
mmh1tezp242ppu,1,,200
mmh1wzqpu4iob1,1,,200
mmh250jg0prrne,3,,200
mmh28cu87aoonk,2,,200
mmjs6b0lllgkvm,4,,200
