session_id,model,n_params,nll,aic,bic,n_obs,window,threshold,beta
mmgkzukxb91bym,mvt_threshold,1,448.45949114632265,898.9189822926453,903.8793300217466,1054,5.0,,
mmgkzukxb91bym,patch_leaving,1,839.3945009821416,1680.7890019642832,1685.7493496933846,1054,,0.5,
mmgkzukxb91bym,softmax_mvt,2,613.2849676514911,1230.5699353029822,1240.4906307611848,1054,10.0,,4.845069097673357
mmglwqjl2idcz3,mvt_threshold,1,214.43350289318482,430.86700578636965,435.23519297272014,583,5.0,,
mmglwqjl2idcz3,patch_leaving,1,208.88832544870445,419.7766508974089,424.1448380837594,583,,0.5000082091344935,
mmglwqjl2idcz3,softmax_mvt,2,354.53428988530806,713.0685797706161,721.8049541433171,583,15.0,,14.256034192157143
mmgnnwif7rgnag,mvt_threshold,1,517.838949867953,1037.677899735906,1042.3774000760677,812,5.0,,
mmgnnwif7rgnag,patch_leaving,1,509.52118370123435,1021.0423674024687,1025.7418677426303,812,,0.5,
mmgnnwif7rgnag,softmax_mvt,2,510.26741582067183,1024.5348316413438,1033.933832321667,812,5.0,,4.053635948954933
mmgp4bc84vs4qt,mvt_threshold,1,626.641422700369,1255.282845400738,1260.2922543334466,1107,5.0,,
mmgp4bc84vs4qt,patch_leaving,1,1063.3241464531454,2128.648292906291,2133.6577018389994,1107,,0.5,
mmgp4bc84vs4qt,softmax_mvt,2,707.6092877990799,1419.2185755981598,1429.237393463577,1107,10.0,,3.059461871559034
mmgp4tj5hwk1cr,mvt_threshold,1,617.0883151384344,1236.1766302768688,1241.05495674516,971,5.0,,
mmgp4tj5hwk1cr,patch_leaving,1,833.3502354731403,1668.7004709462806,1673.578797414572,971,,0.5,
mmgp4tj5hwk1cr,softmax_mvt,2,610.8823773141734,1225.7647546283467,1235.5214075649294,971,15.0,,4.192659899209416
mmgp5kmoz5itw5,mvt_threshold,1,114.84137043275094,231.68274086550187,235.35949466777015,292,5.0,,
mmgp5kmoz5itw5,patch_leaving,1,109.29619298827136,220.59238597654272,224.269139778811,292,,0.5000082091559116,
mmgp5kmoz5itw5,softmax_mvt,2,168.4880243035512,340.9760486071024,348.329556211639,292,10.0,,15.19628363555433
mmgp92mez7ni28,mvt_threshold,1,507.5677747124101,1017.1355494248202,1022.2054235532787,1176,5.0,,
mmgp92mez7ni28,patch_leaving,1,1231.2134312170085,2464.426862434017,2469.4967365624757,1176,,0.5,
mmgp92mez7ni28,softmax_mvt,2,681.3393822116615,1366.678764423323,1376.81851268024,1176,10.0,,5.88361612411435
mmgp978syi159c,mvt_threshold,1,587.7055569503656,1177.4111139007312,1182.2945764871442,976,5.0,,
mmgp978syi159c,patch_leaving,1,691.677634034361,1385.355268068722,1390.238730655135,976,,0.5,
mmgp978syi159c,softmax_mvt,2,625.8407669892537,1255.6815339785073,1265.4484591513335,976,10.0,,3.275484450459898
mmgp9zmmm2qlbz,mvt_threshold,1,696.3021938438663,1394.6043876877327,1399.545577742801,1034,5.0,,
mmgp9zmmm2qlbz,patch_leaving,1,767.0032062609833,1536.0064125219667,1540.947602577035,1034,,0.5,
mmgp9zmmm2qlbz,softmax_mvt,2,669.1451818334398,1342.2903636668796,1352.1727437770162,1034,10.0,,3.540605990690382
mmgpaypnopkm1q,mvt_threshold,1,366.48167752485625,734.9633550497125,739.7352906055521,873,5.0,,
mmgpaypnopkm1q,patch_leaving,1,550.8588275538032,1103.7176551076063,1108.4895906634458,873,,0.5,
mmgpaypnopkm1q,softmax_mvt,2,494.3616051318966,992.7232102637932,1002.2670813754725,873,5.0,,7.284787208123884
mmgpciu4e2yunz,mvt_threshold,1,387.07770692251455,776.1554138450291,781.078057736505,1015,5.0,,
mmgpciu4e2yunz,patch_leaving,1,719.7883535912945,1441.576707182589,1446.4993510740649,1015,,0.5,
mmgpciu4e2yunz,softmax_mvt,2,536.3113012040612,1076.6226024081225,1086.4678901910743,1015,10.0,,7.35361197354282
mmgpgi4g1jzpv2,mvt_threshold,1,427.72653049761726,857.4530609952345,862.3776733912831,1017,5.0,,
mmgpgi4g1jzpv2,patch_leaving,1,899.0666132783932,1800.1332265567864,1805.057838952835,1017,,0.5,
mmgpgi4g1jzpv2,softmax_mvt,2,620.1194918210891,1244.2389836421783,1254.0882084342754,1017,10.0,,4.228885163270752
mmgpiq4ct3r8s1,mvt_threshold,1,505.52398940109106,1013.0479788021821,1017.7932151516665,850,5.0,,
mmgpiq4ct3r8s1,patch_leaving,1,763.3747405694016,1528.7494811388033,1533.4947174882877,850,,0.5,
mmgpiq4ct3r8s1,softmax_mvt,2,544.2774650413191,1092.5549300826383,1102.045402781607,850,10.0,,3.9363104930252275
mmgpqa16u4u07b,mvt_threshold,1,427.74055221247653,857.4811044249531,862.3747607795557,986,5.0,,
mmgpqa16u4u07b,patch_leaving,1,759.064904520139,1520.129809040278,1525.0234653948805,986,,0.5,
mmgpqa16u4u07b,softmax_mvt,2,588.90009235038,1181.80018470076,1191.5874974099652,986,5.0,,5.658316633590851
mmgpy8l4xh9nto,mvt_threshold,1,870.0072326567761,1742.0144653135521,1747.0157109356217,1098,15.0,,
mmgpy8l4xh9nto,patch_leaving,1,946.2534225183697,1894.5068450367394,1899.508090658809,1098,,0.5,
mmgpy8l4xh9nto,softmax_mvt,2,749.0161983572465,1502.032396714493,1512.034887958632,1098,5.0,,1.087498857000615
mmgq3qouddjc6z,mvt_threshold,1,688.1989174222634,1378.3978348445269,1383.447957364796,1153,5.0,,
mmgq3qouddjc6z,patch_leaving,1,1162.311588925272,2326.623177850544,2331.673300370813,1153,,0.5,
mmgq3qouddjc6z,softmax_mvt,2,721.9149815523988,1447.8299631047976,1457.9302081453357,1153,5.0,,4.690361728484959
mmgqyc7ozjls4u,mvt_threshold,1,673.4994864652427,1348.9989729304855,1353.931420822058,1025,5.0,,
mmgqyc7ozjls4u,patch_leaving,1,888.3751124388297,1778.7502248776593,1783.6826727692319,1025,,0.5,
mmgqyc7ozjls4u,softmax_mvt,2,673.7867750644996,1351.5735501289992,1361.4384459121443,1025,5.0,,2.321680238409742
mmgr4s188ypj5i,mvt_threshold,1,455.22927416870107,912.4585483374021,917.3821769655406,1016,5.0,,
mmgr4s188ypj5i,patch_leaving,1,790.712509559724,1583.425019119448,1588.3486477475865,1016,,0.5,
mmgr4s188ypj5i,softmax_mvt,2,603.6722795728709,1211.3445591457419,1221.1918164020187,1016,10.0,,4.882974033429702
mmgr4wtlfg07a6,mvt_threshold,1,746.8254205362368,1495.6508410724737,1500.513598985525,956,15.0,,
mmgr4wtlfg07a6,patch_leaving,1,860.5015581480736,1723.0031162961473,1727.8658742091986,956,,0.5,
mmgr4wtlfg07a6,softmax_mvt,2,648.6139803630357,1301.2279607260714,1310.9534765521742,956,10.0,,1.6820570610438033
mmgr8c41csnx7y,mvt_threshold,1,416.96612497019026,835.9322499403805,840.4587447999513,683,5.0,,
mmgr8c41csnx7y,patch_leaving,1,473.80419377610446,949.6083875522089,954.1348824117797,683,,0.5,
mmgr8c41csnx7y,softmax_mvt,2,437.79038153590875,879.5807630718175,888.6337527909591,683,15.0,,3.532320169819655
mmh0l2c7syhpy7,mvt_threshold,1,658.6965355955498,1319.3930711910996,1324.3274684010282,1027,5.0,,
mmh0l2c7syhpy7,patch_leaving,1,807.0300322353845,1616.060064470769,1620.9944616806977,1027,,0.5,
mmh0l2c7syhpy7,softmax_mvt,2,690.376885915276,1384.753771830552,1394.6225662504091,1027,20.0,,2.1015253328760304
mmh0l48d4j1y4y,mvt_threshold,1,776.1079447091781,1554.2158894183563,1558.9912555092926,876,5.0,,
mmh0l48d4j1y4y,patch_leaving,1,884.238904876533,1770.477809753066,1775.2531758440023,876,,0.5000081968950616,
mmh0l48d4j1y4y,softmax_mvt,2,590.6483084438956,1185.2966168877913,1194.847349069664,876,20.0,,1.931140463858994
mmh0le5hn8utpd,mvt_threshold,1,489.1363581511442,980.2727163022884,985.1744535089449,994,5.0,,
mmh0le5hn8utpd,patch_leaving,1,712.3297502914556,1426.6595005829113,1431.561237789568,994,,0.5,
mmh0le5hn8utpd,softmax_mvt,2,617.3748907735859,1238.7497815471718,1248.5532559604849,994,10.0,,3.9771082414512677
mmh0lgop76n6ez,mvt_threshold,1,551.0679493902545,1104.135898780509,1108.9438337242088,905,5.0,,
mmh0lgop76n6ez,patch_leaving,1,679.9933249744105,1361.986649948821,1366.7945848925208,905,,0.5,
mmh0lgop76n6ez,softmax_mvt,2,609.105657623797,1222.211315247594,1231.827185134994,905,10.0,,2.0190370363053236
mmh0lku3ip54e4,mvt_threshold,1,758.2531747064965,1518.506349412993,1523.415104192308,1001,15.0,,
mmh0lku3ip54e4,patch_leaving,1,758.2531747064955,1518.506349412991,1523.4151041923062,1001,,0.5,
mmh0lku3ip54e4,softmax_mvt,2,669.7779966498186,1343.5559932996373,1353.3735028582678,1001,15.0,,2.722985902613035
mmh0lpcdm9wdcu,mvt_threshold,1,111.14816407553633,224.29632815107266,228.1542613055561,350,5.0,,
mmh0lpcdm9wdcu,patch_leaving,1,116.6933415200159,235.3866830400318,239.24461619451526,350,,0.5,
mmh0lpcdm9wdcu,softmax_mvt,2,198.10548905930256,400.2109781186051,407.926844427572,350,10.0,,15.563688120396376
mmh0m3latwun95,mvt_threshold,1,511.6070341571265,1025.214068314253,1030.165840478652,1045,5.0,,
mmh0m3latwun95,patch_leaving,1,826.2958541313562,1654.5917082627125,1659.5434804271115,1045,,0.5,
mmh0m3latwun95,softmax_mvt,2,641.5530938208395,1287.106187641679,1297.0097319704769,1045,5.0,,4.566150028902843
mmh0mm0schxk59,mvt_threshold,1,829.4004742262433,1660.8009484524866,1665.7116992404485,1003,5.0,,
mmh0mm0schxk59,patch_leaving,1,976.3476765049543,1954.6953530099086,1959.6061037978704,1003,,0.5,
mmh0mm0schxk59,softmax_mvt,2,675.3430497903396,1354.6860995806792,1364.507601156603,1003,5.0,,2.120618852606853
mmh0mmptqfyu87,mvt_threshold,1,412.2219415220397,826.4438830440794,830.6464185612673,494,10.0,,
mmh0mmptqfyu87,patch_leaving,1,438.5615343833173,879.1230687666346,883.3256042838225,494,,0.5,
mmh0mmptqfyu87,softmax_mvt,2,336.320955494834,676.641910989668,685.0469820240438,494,5.0,,3.0590852145119105
mmh0nnjg95y0zn,mvt_threshold,1,609.9498035074944,1221.8996070149888,1227.0151891411733,1231,5.0,,
mmh0nnjg95y0zn,patch_leaving,1,1404.296472429191,2810.592944858382,2815.7085269845666,1231,,0.5,
mmh0nnjg95y0zn,softmax_mvt,2,780.1014511673169,1564.2029023346338,1574.4340665870027,1231,5.0,,3.9434211212291626
mmh0ocgvf4p325,mvt_threshold,1,410.6112997231754,823.2225994463508,828.1203043894794,990,5.0,,
mmh0ocgvf4p325,patch_leaving,1,662.9168734470019,1327.8337468940038,1332.7314518371325,990,,0.5,
mmh0ocgvf4p325,softmax_mvt,2,548.7841077984186,1101.5682155968373,1111.3636254830944,990,10.0,,6.907078096665081
mmh0opq734nw1a,mvt_threshold,1,394.54496402855494,791.0899280571099,795.9121254477304,918,5.0,,
mmh0opq734nw1a,patch_leaving,1,591.3987633075799,1184.7975266151598,1189.6197240057802,918,,0.5,
