session_id,model,phase,accuracy,f1,mcc
mmgkzukxb91bym,hmm_2state,Full,0.530360531309298,0.6931184128952262,0.0
mmgkzukxb91bym,hmm_2state,Ph 1,0.4924812030075188,0.6599496221662469,0.0
mmgkzukxb91bym,hmm_2state,Ph 2,0.6538461538461539,0.7906976744186046,0.0
mmgkzukxb91bym,hmm_2state,Ph 3,0.43346007604562736,0.6047745358090185,0.0
mmgkzukxb91bym,hmm_2state,Ph 4,0.5433962264150943,0.7041564792176039,0.0
mmgkzukxb91bym,hmm_3state,Full,0.5313092979127134,0.6935483870967742,0.03274832704589314
mmgkzukxb91bym,hmm_3state,Ph 1,0.4924812030075188,0.6599496221662469,0.0
mmgkzukxb91bym,hmm_3state,Ph 2,0.6576923076923077,0.7925407925407926,0.0853991059262759
mmgkzukxb91bym,hmm_3state,Ph 3,0.43346007604562736,0.6047745358090185,0.0
mmgkzukxb91bym,hmm_3state,Ph 4,0.5433962264150943,0.7041564792176039,0.0
mmgkzukxb91bym,hmm_4state,Full,0.9886148007590133,0.9893805309734514,0.9773695754166184
mmgkzukxb91bym,hmm_4state,Ph 1,0.9887218045112782,0.9886792452830189,0.9776948555219549
mmgkzukxb91bym,hmm_4state,Ph 2,1.0,1.0,1.0
mmgkzukxb91bym,hmm_4state,Ph 3,0.9809885931558935,0.9785407725321889,0.9622037758471864
mmgkzukxb91bym,hmm_4state,Ph 4,0.9849056603773585,0.9863013698630136,0.9699528736862496
mmglwqjl2idcz3,hmm_2state,Full,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 1,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 2,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 3,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 4,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Full,0.9468267581475128,0.952959028831563,0.8973618764879997
mmglwqjl2idcz3,hmm_3state,Ph 1,0.976,0.9837837837837838,0.9395029708789445
mmglwqjl2idcz3,hmm_3state,Ph 2,0.9878048780487805,0.993421052631579,0.9138342363709077
mmglwqjl2idcz3,hmm_3state,Ph 3,0.9593023255813954,0.7878787878787878,0.7882789149779044
mmglwqjl2idcz3,hmm_3state,Ph 4,0.8442622950819673,0.8613138686131386,0.7268332190306992
mmglwqjl2idcz3,hmm_4state,Full,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 1,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 2,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 3,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 4,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_2state,Full,0.5899014778325123,0.5924112607099143,0.17981659220458007
mmgnnwif7rgnag,hmm_2state,Ph 1,0.509090909090909,0.5877862595419847,0.02361554068694981
mmgnnwif7rgnag,hmm_2state,Ph 2,0.6956521739130435,0.8066298342541437,0.16564822179112462
mmgnnwif7rgnag,hmm_2state,Ph 3,0.6061946902654868,0.1834862385321101,-0.055694096758113064
mmgnnwif7rgnag,hmm_2state,Ph 4,0.5147058823529411,0.21428571428571427,0.0652471494525912
mmgnnwif7rgnag,hmm_3state,Full,0.9926108374384236,0.9925558312655087,0.9853292781642932
mmgnnwif7rgnag,hmm_3state,Ph 1,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_3state,Ph 2,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_3state,Ph 3,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_3state,Ph 4,0.9558823529411765,0.9545454545454546,0.9154227486876054
mmgnnwif7rgnag,hmm_4state,Full,0.645320197044335,0.45038167938931295,0.41234550857721736
mmgnnwif7rgnag,hmm_4state,Ph 1,0.5545454545454546,0.18333333333333332,0.23151089821490967
mmgnnwif7rgnag,hmm_4state,Ph 2,0.4391304347826087,0.31746031746031744,0.2588071329686871
mmgnnwif7rgnag,hmm_4state,Ph 3,0.8407079646017699,0.6470588235294118,0.6237400004773941
mmgnnwif7rgnag,hmm_4state,Ph 4,0.8161764705882353,0.7787610619469026,0.6814677069860143
mmgp4bc84vs4qt,hmm_2state,Full,0.5167118337850045,0.0,0.0
mmgp4bc84vs4qt,hmm_2state,Ph 1,0.5410447761194029,0.0,0.0
mmgp4bc84vs4qt,hmm_2state,Ph 2,0.3686274509803922,0.0,0.0
mmgp4bc84vs4qt,hmm_2state,Ph 3,0.6293706293706294,0.0,0.0
mmgp4bc84vs4qt,hmm_2state,Ph 4,0.5134228187919463,0.0,0.0
mmgp4bc84vs4qt,hmm_3state,Full,0.5401987353206865,0.4520990312163617,0.07394205164409942
mmgp4bc84vs4qt,hmm_3state,Ph 1,0.5186567164179104,0.4819277108433735,0.03258044284232031
mmgp4bc84vs4qt,hmm_3state,Ph 2,0.7098039215686275,0.7448275862068966,0.431713690556232
mmgp4bc84vs4qt,hmm_3state,Ph 3,0.43356643356643354,0.22857142857142856,-0.2189030344343728
mmgp4bc84vs4qt,hmm_3state,Ph 4,0.5167785234899329,0.2,0.02022349582985234
mmgp4bc84vs4qt,hmm_4state,Full,0.7091237579042458,0.56951871657754,0.5047102975727219
mmgp4bc84vs4qt,hmm_4state,Ph 1,0.7649253731343284,0.6557377049180327,0.583143451629388
mmgp4bc84vs4qt,hmm_4state,Ph 2,0.803921568627451,0.8161764705882353,0.6708589716433466
mmgp4bc84vs4qt,hmm_4state,Ph 3,0.7132867132867133,0.36923076923076925,0.3944012612680354
mmgp4bc84vs4qt,hmm_4state,Ph 4,0.5738255033557047,0.22085889570552147,0.26044675524043476
mmgp4tj5hwk1cr,hmm_2state,Full,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 1,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 2,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 4,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_3state,Full,0.7353244078269825,0.6385372714486639,0.5540746242505835
mmgp4tj5hwk1cr,hmm_3state,Ph 1,0.5720720720720721,0.21487603305785125,0.2562353715952691
mmgp4tj5hwk1cr,hmm_3state,Ph 2,0.521551724137931,0.418848167539267,0.33429772192974516
mmgp4tj5hwk1cr,hmm_3state,Ph 3,0.8588235294117647,0.76,0.7081428356340436
mmgp4tj5hwk1cr,hmm_3state,Ph 4,0.9427480916030534,0.9397590361445783,0.891443125720864
mmgp4tj5hwk1cr,hmm_4state,Full,0.9979402677651905,0.9979296066252588,0.995888894298396
mmgp4tj5hwk1cr,hmm_4state,Ph 1,0.9954954954954955,0.9953488372093023,0.9910225042171011
mmgp4tj5hwk1cr,hmm_4state,Ph 2,0.9956896551724138,0.9966777408637874,0.9905872621276315
mmgp4tj5hwk1cr,hmm_4state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_4state,Ph 4,1.0,1.0,1.0
mmgp5kmoz5itw5,hmm_2state,Full,0.5924657534246576,0.7440860215053764,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 1,0.7333333333333333,0.8461538461538461,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 2,0.9090909090909091,0.9523809523809523,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 3,0.43373493975903615,0.6050420168067226,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 4,0.5,0.6666666666666666,0.0
mmgp5kmoz5itw5,hmm_3state,Full,0.5924657534246576,0.7440860215053764,0.0
