session_id,model,phase,accuracy,f1,mcc
mmgkzukxb91bym,hmm_2state,Full,0.5174081237911026,0.6584531143052703,-0.010994366703421687
mmgkzukxb91bym,hmm_2state,Ph 1,0.4715447154471545,0.4921875,-0.0510592416430743
mmgkzukxb91bym,hmm_2state,Ph 2,0.6192307692307693,0.7637231503579952,-0.11276676676790144
mmgkzukxb91bym,hmm_2state,Ph 3,0.43346007604562736,0.6047745358090185,0.0
mmgkzukxb91bym,hmm_2state,Ph 4,0.5433962264150943,0.7041564792176039,0.0
mmgkzukxb91bym,hmm_3state,Full,0.5164410058027079,0.6626180836707153,-0.019089489239892385
mmgkzukxb91bym,hmm_3state,Ph 1,0.45528455284552843,0.5109489051094891,-0.07912020669308091
mmgkzukxb91bym,hmm_3state,Ph 2,0.6307692307692307,0.7725118483412322,-0.08282603134277655
mmgkzukxb91bym,hmm_3state,Ph 3,0.43346007604562736,0.6047745358090185,0.0
mmgkzukxb91bym,hmm_3state,Ph 4,0.5433962264150943,0.7041564792176039,0.0
mmgkzukxb91bym,hmm_4state,Full,0.9874274661508704,0.9882139619220308,0.9750574355325887
mmgkzukxb91bym,hmm_4state,Ph 1,0.9878048780487805,0.9873417721518988,0.9758717033480113
mmgkzukxb91bym,hmm_4state,Ph 2,0.9961538461538462,0.9970674486803519,0.9915169756138693
mmgkzukxb91bym,hmm_4state,Ph 3,0.9809885931558935,0.9785407725321889,0.9622037758471864
mmgkzukxb91bym,hmm_4state,Ph 4,0.9849056603773585,0.9863013698630136,0.9699528736862496
mmglwqjl2idcz3,hmm_2state,Full,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 1,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 2,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 3,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 4,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Full,0.9449378330373002,0.9502407704654896,0.8944835333542425
mmglwqjl2idcz3,hmm_3state,Ph 1,0.9714285714285714,0.9798657718120806,0.9329935550067913
mmglwqjl2idcz3,hmm_3state,Ph 2,0.9878048780487805,0.993421052631579,0.9138342363709077
mmglwqjl2idcz3,hmm_3state,Ph 3,0.9593023255813954,0.7878787878787878,0.7882789149779044
mmglwqjl2idcz3,hmm_3state,Ph 4,0.8442622950819673,0.8613138686131386,0.7268332190306992
mmglwqjl2idcz3,hmm_4state,Full,0.9982238010657194,0.9983136593591906,0.9964438211863419
mmglwqjl2idcz3,hmm_4state,Ph 1,0.9904761904761905,0.9931972789115646,0.977578019282238
mmglwqjl2idcz3,hmm_4state,Ph 2,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 3,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 4,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_2state,Full,0.5858585858585859,0.5889724310776943,0.17169952155787904
mmgnnwif7rgnag,hmm_2state,Ph 1,0.485,0.5761316872427984,-0.033228888017745054
mmgnnwif7rgnag,hmm_2state,Ph 2,0.6956521739130435,0.8066298342541437,0.16564822179112462
mmgnnwif7rgnag,hmm_2state,Ph 3,0.6061946902654868,0.1834862385321101,-0.055694096758113064
mmgnnwif7rgnag,hmm_2state,Ph 4,0.5147058823529411,0.21428571428571427,0.0652471494525912
mmgnnwif7rgnag,hmm_3state,Full,0.9911616161616161,0.991128010139417,0.9824019908244418
mmgnnwif7rgnag,hmm_3state,Ph 1,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_3state,Ph 2,0.9956521739130435,0.9968652037617555,0.9898249952020612
mmgnnwif7rgnag,hmm_3state,Ph 3,1.0,1.0,1.0
mmgnnwif7rgnag,hmm_3state,Ph 4,0.9558823529411765,0.9545454545454546,0.9154227486876054
mmgnnwif7rgnag,hmm_4state,Full,0.6338383838383839,0.6985446985446986,0.29479360001041083
mmgnnwif7rgnag,hmm_4state,Ph 1,0.53,0.6147540983606558,0.0668153104781061
mmgnnwif7rgnag,hmm_4state,Ph 2,0.808695652173913,0.875,0.5271439802239123
mmgnnwif7rgnag,hmm_4state,Ph 3,0.4424778761061947,0.5,0.17448632519356935
mmgnnwif7rgnag,hmm_4state,Ph 4,0.8088235294117647,0.7719298245614035,0.6616872481306972
mmgp4bc84vs4qt,hmm_2state,Full,0.5133394664213431,0.4154696132596685,0.018312131165269956
mmgp4bc84vs4qt,hmm_2state,Ph 1,0.5362903225806451,0.0,0.0
mmgp4bc84vs4qt,hmm_2state,Ph 2,0.5843137254901961,0.66875,0.11092936496329849
mmgp4bc84vs4qt,hmm_2state,Ph 3,0.43006993006993005,0.49846153846153846,-0.0028687492769558587
mmgp4bc84vs4qt,hmm_2state,Ph 4,0.5134228187919463,0.0,0.0
mmgp4bc84vs4qt,hmm_3state,Full,0.5354185832566697,0.3863912515188335,0.06406701021797467
mmgp4bc84vs4qt,hmm_3state,Ph 1,0.5201612903225806,0.23225806451612904,-0.012055979603602497
mmgp4bc84vs4qt,hmm_3state,Ph 2,0.6862745098039216,0.7122302158273381,0.40993326744654074
mmgp4bc84vs4qt,hmm_3state,Ph 3,0.43356643356643354,0.22857142857142856,-0.2189030344343728
mmgp4bc84vs4qt,hmm_3state,Ph 4,0.5167785234899329,0.2,0.02022349582985234
mmgp4bc84vs4qt,hmm_4state,Full,0.7056117755289788,0.5652173913043478,0.4982671632762777
mmgp4bc84vs4qt,hmm_4state,Ph 1,0.7540322580645161,0.6432748538011696,0.5614526395475912
mmgp4bc84vs4qt,hmm_4state,Ph 2,0.803921568627451,0.8161764705882353,0.6708589716433466
mmgp4bc84vs4qt,hmm_4state,Ph 3,0.7132867132867133,0.36923076923076925,0.3944012612680354
mmgp4bc84vs4qt,hmm_4state,Ph 4,0.5738255033557047,0.22085889570552147,0.26044675524043476
mmgp4tj5hwk1cr,hmm_2state,Full,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 1,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 2,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 4,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_3state,Full,0.7181913774973712,0.7398058252427184,0.44331813023022265
mmgp4tj5hwk1cr,hmm_3state,Ph 1,0.49504950495049505,0.3780487804878049,-0.021537539696458847
mmgp4tj5hwk1cr,hmm_3state,Ph 2,0.8232758620689655,0.8783382789317508,0.6109612220969501
mmgp4tj5hwk1cr,hmm_3state,Ph 3,0.5725490196078431,0.6093189964157706,0.31477232912569403
mmgp4tj5hwk1cr,hmm_3state,Ph 4,0.9389312977099237,0.936,0.8830043590356366
mmgp4tj5hwk1cr,hmm_4state,Full,0.9968454258675079,0.996832101372756,0.993692944628786
mmgp4tj5hwk1cr,hmm_4state,Ph 1,0.9900990099009901,0.9897959183673469,0.9801805337519623
mmgp4tj5hwk1cr,hmm_4state,Ph 2,0.9956896551724138,0.9966777408637874,0.9905872621276315
mmgp4tj5hwk1cr,hmm_4state,Ph 3,1.0,1.0,1.0
