session_id,model,n_params,nll,aic,bic,n_obs,alpha,beta,alpha_pos,alpha_neg,forget,alpha_base,alpha_gain,decay,alpha_phase1,alpha_phase2,alpha_phase3,alpha_phase4,sensitivity,bias,r_squared,n_bins
mmgkzukxb91bym,random,0,730.5771283101823,1461.1542566203643,1461.1542566203643,1054.0,,,,,,,,,,,,,,,,
mmgkzukxb91bym,bias,1,728.6328585075762,1459.2657170151524,1464.2260647442538,1054.0,,,,,,,,,,,,,,,,
mmgkzukxb91bym,wsls,2,722.1346273623233,1448.2692547246463,1458.189950182849,1054.0,,,,,,,,,,,,,,,,
mmgkzukxb91bym,logistic,5,360.34969665668217,730.6993933133643,755.5011319588709,1054.0,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,random,0,404.1048062664481,808.2096125328962,808.2096125328962,583.0,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,bias,1,402.3663709542508,806.7327419085016,811.1009290948521,583.0,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,wsls,2,401.5917276095599,807.1834552191198,815.9198295918208,583.0,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,logistic,5,161.09015993612758,332.18031987225515,354.02125580400764,583.0,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,random,0,562.8355106146755,1125.671021229351,1125.671021229351,812.0,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,bias,1,562.8355106146755,1127.671021229351,1132.370521569513,812.0,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,wsls,2,562.0862897521732,1128.1725795043465,1137.5715801846698,812.0,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,logistic,5,453.9937037756664,917.9874075513328,941.4849092521412,812.0,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,random,0,767.3139288798595,1534.627857759719,1534.627857759719,1107.0,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,bias,1,766.6954758498532,1535.3909516997064,1540.400360632415,1107.0,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,wsls,2,763.8733297282398,1531.7466594564796,1541.765477321897,1107.0,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,logistic,5,649.080358407827,1308.160716815654,1333.2077614791972,1107.0,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,random,0,673.045912323707,1346.091824647414,1346.091824647414,971.0,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,bias,1,673.0412779188056,1348.0825558376112,1352.9608823059025,971.0,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,wsls,2,672.2512802885341,1348.5025605770682,1358.2592135136508,971.0,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,logistic,5,598.6430079753175,1207.286015950635,1231.6776482920916,971.0,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,random,0,202.39897672350403,404.79795344700807,404.79795344700807,292.0,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,bias,1,197.3769687339505,396.753937467901,400.4306912701693,292.0,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,wsls,2,196.46653947969256,396.9330789593852,404.2865865639217,292.0,,,,,,,,,,,,,,,,
