session_id,phase,median_ici,p_higher_observed,n_clicks,p_higher_optimal,optimal_reward_rate,distance_from_optimal
mmgkzukxb91bym,Phase 2,0.3285,0.6538461538461539,260,0.5700000000000001,0.5373,0.08384615384615379
mmgkzukxb91bym,Phase 3,0.333,0.5665399239543727,263,0.5700000000000001,0.5373,-0.0034600760456273694
mmglwqjl2idcz3,Phase 2,0.517,0.9207317073170732,164,0.9700000000000004,0.9998,-0.049268292682927206
mmglwqjl2idcz3,Phase 3,0.5,0.9244186046511628,172,0.9700000000000004,0.99985,-0.04558139534883765
mmgnnwif7rgnag,Phase 2,0.359,0.691304347826087,230,0.6600000000000001,0.65025,0.03130434782608682
mmgnnwif7rgnag,Phase 3,0.3635,0.6946902654867257,226,0.6600000000000001,0.65025,0.0346902654867256
mmgp4bc84vs4qt,Phase 2,0.319,0.6313725490196078,255,0.56,0.5206,0.07137254901960777
mmgp4bc84vs4qt,Phase 3,0.2995,0.6293706293706294,286,0.52,0.4727,0.10937062937062936
mmgp4tj5hwk1cr,Phase 2,0.365,0.6508620689655172,232,0.6600000000000001,0.65025,-0.009137931034482905
mmgp4tj5hwk1cr,Phase 3,0.367,0.6352941176470588,255,0.6900000000000002,0.7089,-0.05470588235294138
mmgp5kmoz5itw5,Phase 2,1.135,0.9090909090909091,11,0.8600000000000003,1.0,0.04909090909090874
mmgp5kmoz5itw5,Phase 3,0.605,0.5662650602409638,83,0.9900000000000004,1.0,-0.42373493975903664
mmgp92mez7ni28,Phase 2,0.247,0.6179401993355482,301,0.5,0.30095,0.11794019933554822
mmgp92mez7ni28,Phase 3,0.2375,0.5652173913043479,322,0.5,0.2334,0.0652173913043479
mmgp978syi159c,Phase 2,0.352,0.6528925619834711,242,0.6300000000000001,0.59595,0.022892561983471005
mmgp978syi159c,Phase 3,0.344,0.6122448979591837,245,0.6100000000000001,0.56495,0.0022448979591835894
mmgp9zmmm2qlbz,Phase 2,0.296,0.6775510204081633,245,0.52,0.4727,0.15755102040816327
mmgp9zmmm2qlbz,Phase 3,0.26,0.6474820143884892,278,0.5,0.3465,0.14748201438848918
mmgpaypnopkm1q,Phase 2,0.353,0.6037735849056604,212,0.6300000000000001,0.59595,-0.02622641509433976
mmgpaypnopkm1q,Phase 3,0.381,0.6634146341463414,205,0.7100000000000002,0.77065,-0.0465853658536588
mmgpciu4e2yunz,Phase 2,0.347,0.6403162055335968,253,0.6300000000000001,0.59595,0.01031620553359669
mmgpciu4e2yunz,Phase 3,0.351,0.625,248,0.6300000000000001,0.59595,-0.0050000000000001155
mmgpgi4g1jzpv2,Phase 2,0.258,0.5036764705882353,272,0.5,0.3465,0.003676470588235281
mmgpgi4g1jzpv2,Phase 3,0.248,0.5992779783393503,277,0.5,0.30095,0.09927797833935026
mmgpiq4ct3r8s1,Phase 2,0.304,0.5762081784386617,269,0.52,0.4727,0.05620817843866166
mmgpiq4ct3r8s1,Phase 3,0.976,0.8349514563106796,103,0.9600000000000004,1.0,-0.12504854368932083
mmgpqa16u4u07b,Phase 2,0.353,0.6212765957446809,235,0.6300000000000001,0.59595,-0.008723404255319256
mmgpqa16u4u07b,Phase 3,0.252,0.5851851851851853,270,0.5,0.30095,0.08518518518518525
mmgpy8l4xh9nto,Phase 2,0.3575,0.5719424460431655,278,0.6600000000000001,0.65025,-0.08805755395683468
mmgpy8l4xh9nto,Phase 3,0.3635,0.625,272,0.6600000000000001,0.65025,-0.03500000000000014
mmgq3qouddjc6z,Phase 2,0.289,0.6472602739726028,292,0.52,0.45505,0.12726027397260276
mmgq3qouddjc6z,Phase 3,0.269,0.6233766233766234,308,0.5,0.3944,0.12337662337662336
mmgqyc7ozjls4u,Phase 2,0.364,0.594488188976378,254,0.6600000000000001,0.65025,-0.06551181102362214
mmgqyc7ozjls4u,Phase 3,0.303,0.6200716845878136,279,0.52,0.4727,0.10007168458781357
mmgr4s188ypj5i,Phase 2,0.383,0.6706349206349206,252,0.7100000000000002,0.77065,-0.0393650793650796
mmgr4s188ypj5i,Phase 3,0.334,0.6600790513833992,253,0.5700000000000001,0.5373,0.09007905138339911
mmgr4wtlfg07a6,Phase 2,0.344,0.6452991452991453,234,0.6100000000000001,0.56495,0.03529914529914524
mmgr4wtlfg07a6,Phase 3,0.352,0.6491935483870968,248,0.6300000000000001,0.59595,0.019193548387096637
mmgr8c41csnx7y,Phase 2,0.3275,0.5801886792452831,212,0.5700000000000001,0.5373,0.010188679245282994
mmgr8c41csnx7y,Phase 3,0.363,0.6,195,0.6600000000000001,0.65025,-0.060000000000000164
mmh0l2c7syhpy7,Phase 2,0.313,0.6192307692307693,260,0.54,0.49445,0.07923076923076922
mmh0l2c7syhpy7,Phase 3,0.315,0.5909090909090908,264,0.56,0.5206,0.030909090909090775
mmh0l48d4j1y4y,Phase 2,0.382,0.6018518518518519,216,0.7100000000000002,0.77065,-0.10814814814814833
mmh0l48d4j1y4y,Phase 3,0.367,0.5914893617021277,235,0.6900000000000002,0.7089,-0.09851063829787243
mmh0le5hn8utpd,Phase 2,0.332,0.6530612244897959,245,0.5700000000000001,0.5373,0.0830612244897958
mmh0le5hn8utpd,Phase 3,0.321,0.6547619047619048,252,0.56,0.5206,0.09476190476190471
mmh0lgop76n6ez,Phase 2,0.375,0.6278026905829597,223,0.7100000000000002,0.77065,-0.08219730941704051
mmh0lgop76n6ez,Phase 3,0.34,0.6276150627615062,239,0.6100000000000001,0.56495,0.01761506276150615
