analysis,parameter,value,metric,mean,sd,correlation_with_default
rolling_window,window_clicks,10,dfa_alpha,1.0216178363543158,0.12182945157289363,0.9703951604230293
rolling_window,window_clicks,10,mean_acf,0.4735169084862607,0.1205724234175922,0.8974882826781183
rolling_window,window_clicks,15,dfa_alpha,1.1434007507141792,0.11796438057886634,0.9855695557205608
rolling_window,window_clicks,15,mean_acf,0.6535135828996281,0.0943545045062027,0.9652469792506034
rolling_window,window_clicks,20,dfa_alpha,1.2235594198270117,0.11916206994687861,1.0
rolling_window,window_clicks,20,mean_acf,0.7463571212617058,0.08034421226290571,1.0
rolling_window,window_clicks,30,dfa_alpha,1.3144947470619954,0.11940247417081064,0.9749691792168877
rolling_window,window_clicks,30,mean_acf,0.82642631622561,0.07277272011955734,0.9432980448515084
dfa_min_window,min_window,4,dfa_alpha,0.6647533816660748,0.12729411929117637,1.0
dfa_min_window,min_window,8,dfa_alpha,0.568338606582507,0.12218754050125868,0.871627576083983
dfa_min_window,min_window,12,dfa_alpha,0.5319032121009424,0.12150280895836876,0.7769632780021047
dfa_min_window,min_window,16,dfa_alpha,0.5004027384722175,0.12923526080913517,0.6561449101814412
