session_id,best_E,simplex_rho,best_theta,smap_rho,nonlinearity,n_points
mmgkzukxb91bym,2,0.988986,0.5,0.992168,0.003182,1054
mmglwqjl2idcz3,3,0.994816,0.01,0.9955,0.000684,583
mmgnnwif7rgnag,1,0.95663,0.01,0.984273,0.0276429999999999,812
mmgp4bc84vs4qt,3,0.971606,0.01,0.983419,0.011813,1107
mmgp4tj5hwk1cr,2,0.957736,0.01,0.990053,0.0323169999999999,971
mmgp5kmoz5itw5,2,0.924068,3.0,0.988752,0.0646839999999999,292
mmgp92mez7ni28,2,0.986112,2.0,0.995728,0.0096159999999999,1176
mmgp978syi159c,3,0.97404,1.0,0.982096,0.0080559999999999,976
mmgp9zmmm2qlbz,2,0.949242,0.01,0.970835,0.0215929999999999,1034
mmgpaypnopkm1q,2,0.989026,0.01,0.993831,0.004805,873
mmgpciu4e2yunz,3,0.982235,0.01,0.993434,0.011199,1015
mmgpgi4g1jzpv2,3,0.987599,1.5,0.992111,0.0045119999999999,1017
mmgpiq4ct3r8s1,2,0.992618,1.0,0.995561,0.002943,850
mmgpqa16u4u07b,2,0.989106,0.1,0.99575,0.0066439999999999,986
mmgpy8l4xh9nto,1,0.895367,9.0,0.963283,0.0679159999999999,1098
mmgq3qouddjc6z,2,0.97022,1.5,0.97851,0.00829,1153
mmgqyc7ozjls4u,2,0.943462,1.5,0.975339,0.0318769999999999,1025
mmgr4s188ypj5i,3,0.990352,0.01,0.994468,0.004116,1016
mmgr4wtlfg07a6,1,0.922042,0.1,0.968801,0.0467589999999999,956
mmgr8c41csnx7y,4,0.971778,8.0,0.974525,0.0027469999999999,683
mmh0l2c7syhpy7,2,,0.01,0.744147,,200
mmh0l48d4j1y4y,1,,0.01,0.806388,,200
mmh0le5hn8utpd,2,,0.3,0.729852,,200
mmh0lgop76n6ez,1,,0.01,0.679961,,200
mmh0lku3ip54e4,1,,1.5,0.821166,,200
mmh0lpcdm9wdcu,2,,3.0,0.997222,,200
mmh0m3latwun95,3,,0.01,0.69733,,200
mmh0mm0schxk59,1,,0.01,0.709454,,200
mmh0mmptqfyu87,6,,1.5,0.708623,,200
mmh0nnjg95y0zn,5,,0.75,0.566145,,200
mmh0ocgvf4p325,5,,1.5,0.804774,,200
mmh0opq734nw1a,2,,0.1,0.900558,,200
mmh0ozswma6i3j,3,,0.3,0.82563,,200
mmh0pa4lgnz2nd,1,,0.5,0.709062,,200
mmh0pj6zqdvwmg,5,,0.01,0.74584,,200
mmh0pjhqfbciu8,1,,0.01,0.849755,,200
mmh0puch6r88f0,2,,0.01,0.912526,,200
mmh0r154h7irg3,3,,0.01,0.796906,,200
mmh0r34rqnesgg,4,,0.01,0.845793,,200
mmh0rqn6g1cadb,1,,0.01,0.764161,,200
mmh0tro0khha5x,2,,2.0,0.697395,,200
mmh0uacrkmrg83,3,,3.0,0.826046,,200
mmh0ueb9o9dis7,1,,1.0,0.81348,,200
mmh0vbvu4yn6l1,3,,1.0,0.55419,,200
mmh0vh7gck5q8n,5,,0.01,0.804187,,200
mmh0wavycmn4y3,3,,1.0,0.841871,,200
mmh0x9u4kgtvxn,2,,0.01,0.761427,,200
mmh0yegg0emahk,1,,0.01,0.921358,,200
mmh115pr1lsvkw,1,,0.5,0.69131,,200
mmh16ou0ocswzc,4,,2.0,0.815771,,200
mmh19xdl74m2p5,1,,0.01,0.665101,,200
mmh1cyh0ahaw8s,5,,0.1,0.837856,,200
mmh1eq07kkdfkw,3,,0.3,0.658182,,200
mmh1jfrxrszco0,1,,0.01,0.973062,,200
mmh1qje9negjr0,2,,1.0,0.884296,,200
mmh1sestgp7zew,2,,0.01,0.80891,,200
mmh1tezp242ppu,1,,0.01,0.720076,,200
mmh1wzqpu4iob1,1,,0.01,0.738072,,200
mmh250jg0prrne,3,,0.01,0.871289,,200
mmh28cu87aoonk,2,,0.01,0.934419,,200
mmjs6b0lllgkvm,4,,1.0,0.75724,,200
