Model,Family,k,AIC,NLL,Accuracy,F1,MCC
HMM (2-state),HMM,19,-460.3 (3853.0),-249.2 (1926.5),0.993 (0.14),0.993 (0.17),0.986 (0.24)
HMM (3-state),HMM,32,-1539.6 (1892.4),-801.8 (946.2),0.993 (0.14),0.993 (0.17),0.986 (0.24)
HMM (4-state),HMM,47,-3877.4 (2544.6),-1985.7 (1272.3),0.993 (0.14),0.993 (0.17),0.986 (0.24)
S-Map (best θ),EDM,---,--- (---),--- (---),0.785 (0.08),0.804 (0.08),0.582 (0.15)
"S-Map (linear, θ = 0)",EDM,---,--- (---),--- (---),0.782 (0.08),0.797 (0.08),0.564 (0.15)
MVT Threshold,Foraging,1,1021.2 (332.0),509.6 (166.0),0.744 (0.10),0.740 (0.11),0.489 (0.21)
Hill-Climbing,Historical,2,1097.0 (295.9),546.5 (147.9),0.718 (0.10),0.710 (0.10),0.435 (0.20)
Simplex (expanding),EDM,---,--- (---),--- (---),0.705 (0.11),0.738 (0.11),0.409 (0.23)
Simplex (Phase 1 → rest),EDM,---,--- (---),--- (---),0.704 (0.12),0.729 (0.12),0.415 (0.24)
Q-Learning (Forgetting),RL,3,1113.1 (320.4),553.5 (160.2),0.676 (0.09),0.672 (0.09),0.352 (0.17)
Q-Learning (Dual α),RL,3,1106.7 (305.8),550.4 (152.9),0.675 (0.08),0.681 (0.08),0.352 (0.15)
Q-Learning,RL,2,1105.6 (302.6),550.8 (151.3),0.675 (0.08),0.679 (0.08),0.351 (0.15)
Melioration,Historical,2,1105.6 (302.6),550.8 (151.3),0.675 (0.08),0.679 (0.08),0.351 (0.15)
Behav. Momentum,Historical,3,1281.5 (295.2),637.8 (147.6),0.639 (0.06),0.638 (0.07),0.287 (0.12)
Gen. Matching Law,Historical,2,1533.0 (449.0),764.5 (224.5),0.636 (0.06),0.649 (0.08),0.273 (0.12)
Ratio Invariance,Historical,2,1242.1 (292.7),619.0 (146.3),0.633 (0.06),0.637 (0.07),0.268 (0.12)
Softmax MVT,Foraging,2,1202.9 (257.3),599.5 (128.7),0.620 (0.05),0.688 (0.05),0.267 (0.10)
WSLS,Baseline,2,1339.9 (277.0),668.0 (138.5),0.614 (0.10),0.457 (0.19),0.258 (0.21)
Kinetic,Historical,2,1271.1 (289.1),633.6 (144.5),0.611 (0.06),0.615 (0.06),0.228 (0.12)
Patch-Leaving,Foraging,1,1469.6 (528.6),733.8 (264.3),0.605 (0.12),0.606 (0.12),0.212 (0.24)
Bias Only,Baseline,1,1339.4 (277.6),668.7 (138.8),0.503 (0.02),0.000 (0.00),0.000 (0.00)
Random,Baseline,0,1337.8 (277.0),668.9 (138.5),0.497 (0.02),0.664 (0.02),0.000 (0.00)
