session_id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4
mmgkzukxb91bym,3,0.0,6.664426725041777e-11,0.0,0.9999999999333564,0.0
mmglwqjl2idcz3,0,1.0,1.770746882207672e-25,0.0,1.566289386412091e-84,0.0
mmgnnwif7rgnag,1,0.0,0.9999999999994635,0.0,5.372525831255981e-13,0.0
mmgp4bc84vs4qt,3,0.0,4.538477959824208e-18,0.0,1.0,0.0
mmgp4tj5hwk1cr,1,0.0,0.9999999699431084,0.0,3.005689078431107e-08,0.0
mmgp5kmoz5itw5,0,1.0,2.6945760881640686e-177,0.0,2.4216629160510437e-220,0.0
mmgp92mez7ni28,3,0.0,5.913733478712726e-24,0.0,1.0,0.0
mmgp978syi159c,1,0.0,0.9999999877752145,0.0,1.2224785626548888e-08,0.0
mmgp9zmmm2qlbz,3,0.0,4.374257262403566e-20,0.0,1.0,0.0
mmgpaypnopkm1q,1,0.0,0.9992802664760619,0.0,0.0007197335239381657,0.0
mmgpciu4e2yunz,3,0.0,8.093193858868584e-22,0.0,1.0,0.0
mmgpgi4g1jzpv2,3,0.0,1.770564668615907e-14,0.0,0.9999999999999822,0.0
mmgpiq4ct3r8s1,1,0.0,1.0,0.0,2.990317681056574e-27,0.0
mmgpqa16u4u07b,1,0.0,0.9996944144702119,0.0,0.000305585529787747,0.0
mmgpy8l4xh9nto,2,0.0,4.772500767911935e-41,1.0,8.288156333322525e-46,0.0
mmgq3qouddjc6z,3,0.0,1.138177479696877e-17,0.0,1.0,0.0
mmgqyc7ozjls4u,2,0.0,1.791443134509577e-31,0.9999999999998881,1.110304002239271e-13,0.0
mmgr4s188ypj5i,3,0.0,2.0275567412608908e-26,0.0,1.0,0.0
mmgr4wtlfg07a6,4,0.0,1.1302477451187115e-15,0.0,1.4356294862791118e-29,0.9999999999999987
mmgr8c41csnx7y,1,0.0,1.0,0.0,9.567960420042707e-42,0.0
mmh0l2c7syhpy7,3,0.0,1.606772219890074e-09,0.0,0.9999999983932284,0.0
mmh0l48d4j1y4y,4,0.0,8.44788640279933e-26,0.0,1.7924918763017293e-143,1.0
mmh0le5hn8utpd,1,0.0,0.9999999857187182,0.0,1.4281281955107956e-08,0.0
mmh0lgop76n6ez,1,0.0,0.9999999999998206,0.0,1.79633798873664e-13,0.0
mmh0lku3ip54e4,2,0.0,4.624490484944959e-61,1.0,2.3111338362569543e-43,0.0
mmh0lpcdm9wdcu,0,1.0,4.046572821392231e-40,0.0,1.640731976370871e-96,0.0
mmh0m3latwun95,3,0.0,1.8502690846688053e-19,0.0,1.0,0.0
mmh0mm0schxk59,2,0.0,2.437452932681231e-22,1.0,2.2228895049273095e-35,0.0
mmh0mmptqfyu87,4,0.0,3.041407850795029e-19,0.0,9.390612398391216e-51,1.0
mmh0nnjg95y0zn,3,0.0,1.1940250687783627e-16,0.0,1.0,0.0
mmh0ocgvf4p325,3,0.0,0.08724742628519064,0.0,0.91275257371481,0.0
mmh0opq734nw1a,1,0.0,0.9996165061523309,0.0,0.00038349384766905615,0.0
mmh0ozswma6i3j,3,0.0,9.281752222896171e-10,0.0,0.9999999990718251,0.0
mmh0pa4lgnz2nd,1,0.0,0.9999999742619682,0.0,2.5738031072987382e-08,0.0
mmh0pj6zqdvwmg,3,0.0,3.2173188829966437e-25,0.0,1.0,0.0
mmh0pjhqfbciu8,4,0.0,6.069290056915434e-10,0.0,4.2204199005243866e-36,0.9999999993930708
mmh0puch6r88f0,4,0.0,3.9521617317993267e-13,0.0,5.520327714280155e-44,0.9999999999996048
mmh0r154h7irg3,3,0.0,2.975176490646953e-23,0.0,1.0,0.0
mmh0r34rqnesgg,1,0.0,0.99991450403746,0.0,8.549596253993585e-05,0.0
mmh0rqn6g1cadb,1,0.0,0.9999999999998987,0.0,1.0185964822476217e-13,0.0
mmh0tro0khha5x,1,0.0,0.9999999999998703,0.0,1.29649014446804e-13,0.0
mmh0uacrkmrg83,1,0.0,0.9999999581619496,0.0,4.1838050163202996e-08,0.0
mmh0ueb9o9dis7,1,0.0,0.9999999986336228,0.0,1.3663771179078207e-09,0.0
mmh0vbvu4yn6l1,3,0.0,1.243277049522156e-19,0.0,1.0,0.0
mmh0vh7gck5q8n,1,0.0,0.9999990344519397,0.0,9.65548060332873e-07,0.0
mmh0wavycmn4y3,2,0.0,2.979598344555611e-23,1.0,7.444859892652759e-16,0.0
mmh0x9u4kgtvxn,2,0.0,5.610673428173946e-26,1.0,1.711657007252919e-35,0.0
mmh0yegg0emahk,1,0.0,0.9999999999999929,0.0,6.495644326249679e-15,0.0
mmh115pr1lsvkw,1,0.0,0.999999999986553,0.0,1.344731925315737e-11,0.0
mmh16ou0ocswzc,1,0.0,0.9999998421874299,0.0,1.578125701609558e-07,0.0
mmh19xdl74m2p5,1,0.0,0.9999999992169037,0.0,7.830965049922051e-10,0.0
mmh1cyh0ahaw8s,3,0.0,4.828909682733948e-28,0.0,1.0,0.0
mmh1eq07kkdfkw,3,0.0,2.4960008091949436e-06,0.0,0.9999975039991906,0.0
mmh1jfrxrszco0,0,1.0,6.101997107615495e-23,0.0,1.135895865558753e-52,0.0
mmh1qje9negjr0,1,0.0,0.9999996326029272,0.0,3.673970732122249e-07,0.0
mmh1sestgp7zew,3,0.0,1.9395897798075525e-39,0.0,1.0,0.0
mmh1tezp242ppu,1,0.0,0.999997631293884,0.0,2.368706115521521e-06,0.0
mmh1wzqpu4iob1,1,0.0,0.9999999915063018,0.0,8.493698071312885e-09,0.0
mmh250jg0prrne,4,0.0,7.700953466960776e-27,0.0,4.005904333594734e-66,1.0
mmh28cu87aoonk,4,0.0,4.6184180200502845e-64,0.0,5.914316896812832e-183,1.0
