cluster,feature,mean_z
0,overall_switch_rate,-0.8182310765732105
0,mean_run_length,2.057918352970347
0,choice_entropy,-2.0141258542966414
0,win_stay_rate,0.7257621616929786
0,lose_shift_rate,1.0052054659490326
0,overall_reward_rate,2.1337509939612467
0,total_rewards,-1.0767996761316845
0,choice_prop_a,2.0857710831967684
0,total_clicks,-2.466478803550138
0,adaptation_lag_phase2_s,0.08651861222276858
0,adaptation_lag_phase3_s,1.721153310255033
0,dfa_alpha,2.6737663303616257
0,sample_entropy,-2.240037141315163
0,determinism,0.8858809556280534
0,laminarity,0.6052663425195111
0,trapping_time,1.135664571209997
0,best_E,-0.5196152422706631
0,ccm_asymmetry,-0.31175280342604705
1,overall_switch_rate,-0.19296962418483324
1,mean_run_length,-0.1870873713657318
1,choice_entropy,0.17702801034936033
1,win_stay_rate,0.23087905801933853
1,lose_shift_rate,-0.12401030792574902
1,overall_reward_rate,0.24095482617964512
1,total_rewards,0.440880561539817
1,choice_prop_a,-0.09924247526101164
1,total_clicks,-0.2558244196220756
1,adaptation_lag_phase2_s,-0.15602267629571795
1,adaptation_lag_phase3_s,-0.028200798793250412
1,dfa_alpha,-0.03433469434228775
1,sample_entropy,0.18771235034002806
1,determinism,0.8388698052688729
1,laminarity,0.6752362869031633
1,trapping_time,0.21243555624978552
1,best_E,-0.4041451884327379
1,ccm_asymmetry,0.12186215189166132
2,overall_switch_rate,1.0884488635565657
2,mean_run_length,-1.0552684425749328
2,choice_entropy,0.22680435647107658
2,win_stay_rate,-0.9957556398254165
2,lose_shift_rate,0.569193375477945
2,overall_reward_rate,-0.7487101136702311
2,total_rewards,-0.3912450016313603
2,choice_prop_a,-0.40855952218096786
2,total_clicks,0.7390015948708056
2,adaptation_lag_phase2_s,1.1027763963060082
2,adaptation_lag_phase3_s,0.0831370763148989
2,dfa_alpha,-0.9358164704398678
2,sample_entropy,0.2934174610376565
2,determinism,-0.8059732718394447
2,laminarity,-1.6549595576251044
2,trapping_time,-0.43230253771554555
2,best_E,-0.5773502691896257
2,ccm_asymmetry,-0.5547001435132408
3,overall_switch_rate,-0.6341625480774709
3,mean_run_length,0.46228088000099765
3,choice_entropy,0.06562173953067667
3,win_stay_rate,0.5772841023621785
3,lose_shift_rate,-0.8234983281346778
3,overall_reward_rate,-0.904530539117603
3,total_rewards,-0.6602297820145235
3,choice_prop_a,-0.035864666986648426
3,total_clicks,0.8413517265001506
3,adaptation_lag_phase2_s,-0.4899513436048948
3,adaptation_lag_phase3_s,-0.426408974129666
3,dfa_alpha,0.05705535057257452
3,sample_entropy,0.509040012520215
3,determinism,-0.9980766858133534
3,laminarity,-0.12974209089852629
3,trapping_time,-0.9861132604869779
3,best_E,0.7475166643191995
3,ccm_asymmetry,-0.1848247164638033
4,overall_switch_rate,1.9175129312659125
4,mean_run_length,-0.8847575090961709
4,choice_entropy,0.17145599698433175
4,win_stay_rate,-1.9197157350235579
4,lose_shift_rate,1.5981047868732923
4,overall_reward_rate,1.051488731585623
4,total_rewards,1.2311287279478935
4,choice_prop_a,-0.4040684458129422
4,total_clicks,-0.6305701553710473
4,adaptation_lag_phase2_s,0.8701267046947309
4,adaptation_lag_phase3_s,0.19930771151316365
4,dfa_alpha,-0.7628836422101815
4,sample_entropy,-0.9967446924300012
4,determinism,0.017556787503589705
4,laminarity,-0.8902684547044958
4,trapping_time,1.6698365058158584
4,best_E,0.14846149779161805
4,ccm_asymmetry,0.7374557203137176
