session_id,E,lib_size,rho_reward_causes_choice,rho_choice_causes_reward
mmgkzukxb91bym,3,20,0.12815400000000005,0.09840850000000001
mmgkzukxb91bym,3,62,0.11704,0.101539
mmgkzukxb91bym,3,105,0.183324,0.1059755
mmgkzukxb91bym,3,147,0.20413750000000003,0.1397065
mmgkzukxb91bym,3,190,0.23289449999999995,0.15376099999999998
mmglwqjl2idcz3,2,20,0.7152364999999999,-0.0248595
mmglwqjl2idcz3,2,62,0.7130515,0.0142645
mmglwqjl2idcz3,2,105,0.7263814999999999,0.020044500000000003
mmglwqjl2idcz3,2,147,0.7419070000000001,0.058280999999999986
mmglwqjl2idcz3,2,190,0.762033,0.056335
mmgnnwif7rgnag,2,20,0.0376355,0.0275845
mmgnnwif7rgnag,2,62,0.07993099999999999,0.10462300000000002
mmgnnwif7rgnag,2,105,0.141855,0.1839545
mmgnnwif7rgnag,2,147,0.196188,0.24675899999999995
mmgnnwif7rgnag,2,190,0.24931200000000003,0.29101600000000005
mmgp4bc84vs4qt,5,20,0.0022930000000000025,0.1598995
mmgp4bc84vs4qt,5,62,0.08968649999999997,0.22569599999999998
mmgp4bc84vs4qt,5,105,0.118507,0.25379349999999995
mmgp4bc84vs4qt,5,147,0.1447595,0.25082649999999995
mmgp4bc84vs4qt,5,190,0.16568750000000004,0.2542475
mmgp4tj5hwk1cr,2,20,0.1925335,0.005334
mmgp4tj5hwk1cr,2,62,0.2658905000000001,-0.023202000000000007
mmgp4tj5hwk1cr,2,105,0.36350849999999996,-0.024580499999999998
mmgp4tj5hwk1cr,2,147,0.437504,0.028118000000000004
mmgp4tj5hwk1cr,2,190,0.4938429999999999,0.0669395
mmgp5kmoz5itw5,2,20,0.2811475,0.237856
mmgp5kmoz5itw5,2,62,0.33320200000000005,0.2361145
mmgp5kmoz5itw5,2,105,0.3779895,0.24581599999999998
mmgp5kmoz5itw5,2,147,0.4185924999999999,0.3096735
mmgp5kmoz5itw5,2,190,0.46543799999999996,0.347079
mmgp92mez7ni28,4,20,-0.0015875000000000038,0.015740499999999998
mmgp92mez7ni28,4,62,-0.006968499999999997,0.07345199999999999
mmgp92mez7ni28,4,105,0.016231,0.083029
mmgp92mez7ni28,4,147,0.056601,0.09714199999999998
mmgp92mez7ni28,4,190,0.096476,0.137552
mmgp978syi159c,2,20,0.066378,-0.017069999999999995
mmgp978syi159c,2,62,0.1840045,0.0035714999999999996
