session_id,model,n_params,nll,aic,bic,n_obs,alpha,beta,k,c,d,A_recency,sensitivity,bias,r_squared,n_bins,alpha_pos,alpha_neg,forget,alpha_base,alpha_gain,decay,alpha_phase1,alpha_phase2,alpha_phase3,alpha_phase4,n_states,log_likelihood
mmgkzukxb91bym,melioration,2,514.344433372096,1032.688866744192,1042.6095622023945,1054.0,0.49161373348848,3.580760154874612,,,,,,,,,,,,,,,,,,,,
mmgkzukxb91bym,kinetic,2,689.0752631029545,1382.150526205909,1392.0712216641116,1054.0,,2.162976006878389,1.2037373539843232,,,,,,,,,,,,,,,,,,,
mmgkzukxb91bym,behavioral_momentum,3,700.153613624569,1406.307227249138,1421.1882704364418,1054.0,,1.6996070449707767,,0.0691322036951456,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgkzukxb91bym,hill_climbing,2,461.3637178896476,926.7274357792952,936.6481312374978,1054.0,,0.1353352832366127,,,,11.11356284022776,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,melioration,2,173.79253441651474,351.5850688330295,360.3214432057305,583.0,0.1519495802250945,11.629819636412812,,,,,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,kinetic,2,244.82468707871823,493.6493741574365,502.3857485301375,583.0,,18.76770065796284,0.6627824203654311,,,,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,behavioral_momentum,3,280.3271283679043,566.6542567358086,579.7588182948601,583.0,,7.609565448802381,,7.38905609893065,0.0466941657446782,,,,,,,,,,,,,,,,,
mmglwqjl2idcz3,hill_climbing,2,173.66829340840212,351.33658681680424,360.07296118950524,583.0,,0.1353352832366127,,,,26.47465732568002,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,melioration,2,438.9692763290121,881.9385526580242,891.3375533383476,812.0,0.5938873122364035,2.501888937615899,,,,,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,kinetic,2,531.4574457989145,1066.914891597829,1076.3138922781525,812.0,,3.5672915342003053,0.9522643110648794,,,,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,behavioral_momentum,3,520.4920379310934,1046.9840758621867,1061.0825768826717,812.0,,2.149802550130296,,0.0183156388887341,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgnnwif7rgnag,hill_climbing,2,492.5907972360144,989.1815944720288,998.580595152352,812.0,,0.1353352832366127,,,,4.947274253231586,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,melioration,2,654.5164538283534,1313.0329076567068,1323.051725522124,1107.0,0.5011293450809504,2.2807039376490343,,,,,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,kinetic,2,730.0065528447335,1464.013105689467,1474.0319235548843,1107.0,,1.7415586351992882,1.7024100408040528,,,,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,behavioral_momentum,3,739.2765146524786,1484.5530293049571,1499.581256103083,1107.0,,1.6220614998132843,,0.1005718119726888,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgp4bc84vs4qt,hill_climbing,2,700.3996912949724,1404.7993825899448,1414.818200455362,1107.0,,0.1353352832366127,,,,4.616306684677781,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,melioration,2,582.1557458968042,1168.3114917936084,1178.068144730191,971.0,0.2854536187167678,2.604611455971785,,,,,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,kinetic,2,608.062765221745,1220.12553044349,1229.8821833800728,971.0,,3.0733753606394965,1.0432174828231828,,,,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,behavioral_momentum,3,636.9314627950309,1279.862925590062,1294.497904994936,971.0,,2.052398572944823,,0.0183156388887341,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgp4tj5hwk1cr,hill_climbing,2,649.6048855752653,1303.2097711505303,1312.9664240871132,971.0,,0.1353352832366127,,,,4.103072078009539,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,melioration,2,142.07355819910734,288.1471163982147,295.50062400275124,292.0,0.6536598671406209,3.558430625052257,,,,,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,kinetic,2,184.98749369691612,373.9749873938324,381.3284949983689,292.0,,10.225446520992268,0.730472855453021,,,,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,behavioral_momentum,3,176.42077745181308,358.84155490362616,369.87181631043103,292.0,,6.554335585514876,,0.3602364901764364,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgp5kmoz5itw5,hill_climbing,2,191.9945230654185,387.9890461308371,395.34255373537366,292.0,,0.1353352832366127,,,,21.45897419056248,,,,,,,,,,,,,,,,
mmgp92mez7ni28,melioration,2,639.7714904276502,1283.5429808553004,1293.6827291122174,1176.0,0.3069788569045575,4.635508669643163,,,,,,,,,,,,,,,,,,,,
mmgp92mez7ni28,kinetic,2,758.0661499604313,1520.1322999208626,1530.2720481777797,1176.0,,1.9388337522079544,1.3876962685993222,,,,,,,,,,,,,,,,,,,
mmgp92mez7ni28,behavioral_momentum,3,793.714964407485,1593.42992881497,1608.6395512003455,1176.0,,1.9926804036886163,,0.0183156388887341,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgp92mez7ni28,hill_climbing,2,599.396884249384,1202.793768498768,1212.933516755685,1176.0,,0.1353352832366127,,,,10.904675175206254,,,,,,,,,,,,,,,,
mmgp978syi159c,melioration,2,604.0862193094652,1212.1724386189303,1221.9393637917565,976.0,0.423684813113945,1.806249993564554,,,,,,,,,,,,,,,,,,,,
mmgp978syi159c,kinetic,2,641.657591984245,1287.31518396849,1297.082109141316,976.0,,2.3311549735591224,0.6383071383640079,,,,,,,,,,,,,,,,,,,
mmgp978syi159c,behavioral_momentum,3,650.8328786504783,1307.6657573009566,1322.3161450601958,976.0,,1.6523155261305869,,0.2099430378054564,0.0024787521766663,,,,,,,,,,,,,,,,,
mmgp978syi159c,hill_climbing,2,614.9417203521216,1233.8834407042432,1243.6503658770694,976.0,,0.1353352832366127,,,,5.127571047637511,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,melioration,2,629.5232217740198,1263.0464435480396,1272.9288236581765,1034.0,0.469078688844822,2.004903271007104,,,,,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,kinetic,2,689.9306372066945,1383.861274413389,1393.7436545235255,1034.0,,1.9001134152883328,0.6275967074650329,,,,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,behavioral_momentum,3,680.352541604646,1366.705083209292,1381.5286533744973,1034.0,,2.041330843660219,,2.6305815989546466,0.1096685575964804,,,,,,,,,,,,,,,,,
mmgp9zmmm2qlbz,hill_climbing,2,593.5279181085167,1191.0558362170334,1200.93821632717,1034.0,,0.1353352832366127,,,,5.258964143791588,,,,,,,,,,,,,,,,
mmgpaypnopkm1q,melioration,2,393.928681454185,791.8573629083701,801.4012340200493,873.0,0.542234165441606,3.7496975053899817,,,,,,,,,,,,,,,,,,,,
