Participant,Recurrence Rate,Determinism,Mean Diagonal Length,Max Diagonal Length,Entropy Diagonal,Laminarity,Trapping Time
P1,0.32,0.92,3.86,45,1.84,0.99,4.98
P2,0.23,0.98,14.11,580,3.34,0.99,20.18
P3,0.34,0.97,7.02,804,2.64,0.99,10.68
P4,0.37,0.92,4.32,76,2.02,0.97,5.82
P5,0.30,0.96,6.35,966,2.55,0.98,9.65
P6,0.26,0.97,5.74,289,2.38,0.99,7.89
P7,0.33,0.92,3.98,63,1.89,0.99,5.14
P8,0.33,0.98,6.63,973,2.62,0.99,10.16
P9,0.35,0.93,4.40,47,2.05,0.97,6.29
P10,0.27,0.98,5.72,872,2.41,1.00,8.19
P11,0.26,0.89,3.61,34,1.69,0.98,4.38
P12,0.33,0.92,4.07,54,1.92,0.98,5.43
P13,0.29,0.99,7.15,849,2.61,1.00,10.67
P14,0.31,0.98,5.92,980,2.45,1.00,8.64
P15,0.47,0.92,5.56,111,2.28,0.95,8.54
P16,0.36,0.92,4.26,75,2.01,0.97,5.82
P17,0.42,0.91,4.23,76,1.99,0.96,5.81
P18,0.27,0.89,3.64,40,1.74,0.98,4.37
P19,0.43,0.96,7.69,949,2.74,0.98,12.28
P20,0.30,0.96,6.21,679,2.50,0.98,9.34
P21,0.38,0.93,4.22,47,1.99,0.98,5.64
P22,0.47,0.94,10.43,872,3.12,0.97,17.23
P23,0.33,0.99,6.33,993,2.55,1.00,9.67
P24,0.36,0.97,6.09,902,2.49,0.99,9.21
P25,0.35,0.89,4.68,136,2.13,0.94,6.97
P26,0.21,0.98,9.94,345,2.84,0.99,12.87
P27,0.31,0.91,3.81,70,1.82,0.98,4.95
P28,0.36,0.93,5.22,207,2.24,0.97,7.64
P29,0.65,0.97,8.15,490,2.78,0.98,13.28
P30,0.39,0.93,4.14,53,1.95,0.98,5.43
P31,0.25,0.98,6.03,989,2.47,1.00,8.89
P32,0.25,0.98,5.42,917,2.30,1.00,7.83
P33,0.29,0.92,3.92,33,1.85,0.99,5.08
P34,0.36,0.98,6.14,888,2.51,0.99,9.33
P35,0.31,0.90,3.81,44,1.79,0.99,4.75
P36,0.37,0.98,8.34,731,2.87,0.99,13.10
P37,0.32,0.94,7.77,887,2.81,0.97,12.27
P38,0.29,0.90,3.76,42,1.78,0.98,4.56
P39,0.32,0.97,7.05,911,2.68,0.99,11.09
P40,0.44,0.97,6.26,649,2.53,0.99,9.42
P41,0.30,0.98,5.89,945,2.45,0.99,8.89
P42,0.24,0.98,5.83,717,2.43,0.99,8.41
P43,0.35,0.97,6.01,775,2.48,0.99,8.86
P44,0.33,0.91,3.84,31,1.83,0.98,4.89
P45,0.25,0.98,5.74,795,2.40,1.00,8.53
P46,0.33,0.93,4.41,84,2.06,0.96,6.44
P47,0.42,0.95,5.50,85,2.33,0.98,8.07
P48,0.29,0.98,6.57,754,2.59,0.99,9.76
P49,0.39,0.96,6.98,859,2.67,0.98,11.19
P50,0.36,0.97,6.10,993,2.51,0.99,9.30
P51,0.32,0.98,6.76,948,2.63,1.00,10.31
P52,0.29,0.90,3.67,30,1.76,0.97,4.59
P53,0.33,0.93,3.98,31,1.90,0.99,5.32
P54,0.21,0.97,7.41,509,2.72,0.99,10.35
P55,0.28,0.97,6.79,906,2.63,0.99,10.35
P56,0.24,0.87,3.58,38,1.70,0.98,3.94
P57,0.38,0.96,6.70,955,2.62,0.98,10.44
P58,0.29,0.98,6.02,844,2.48,1.00,9.01
P59,0.41,0.94,8.81,816,2.95,0.96,14.44
P60,0.38,0.90,11.76,819,3.22,0.94,20.45
