session_id,best_E,simplex_rho,best_theta,smap_rho,nonlinearity,n_points
mmgkzukxb91bym,3,,0.01,0.739247,,200
mmglwqjl2idcz3,2,,0.01,0.975627,,200
mmgnnwif7rgnag,1,,1.0,0.880151,,200
mmgp4bc84vs4qt,5,,1.0,0.575746,,200
mmgp4tj5hwk1cr,1,,0.1,0.816961,,200
mmgp5kmoz5itw5,2,,3.0,0.967427,,200
mmgp92mez7ni28,4,,1.5,0.786189,,200
mmgp978syi159c,2,,0.01,0.737367,,200
mmgp9zmmm2qlbz,5,,1.0,0.822302,,200
mmgpaypnopkm1q,4,,1.5,0.820891,,200
mmgpciu4e2yunz,2,,0.01,0.69648,,200
mmgpgi4g1jzpv2,4,,2.0,0.743238,,200
mmgpiq4ct3r8s1,2,,0.75,0.919899,,200
mmgpqa16u4u07b,6,,0.01,0.821926,,200
mmgpy8l4xh9nto,1,,2.0,0.743075,,200
mmgq3qouddjc6z,5,,0.75,0.748193,,200
mmgqyc7ozjls4u,2,,2.0,0.688879,,200
mmgr4s188ypj5i,1,,0.1,0.691736,,200
mmgr4wtlfg07a6,1,,0.3,0.724377,,200
mmgr8c41csnx7y,2,,0.01,0.902161,,200
mmh0l2c7syhpy7,2,,0.01,0.744147,,200
mmh0l48d4j1y4y,3,,0.01,0.85516,,200
mmh0le5hn8utpd,1,,0.1,0.730905,,200
mmh0lgop76n6ez,1,,0.01,0.679938,,200
mmh0lku3ip54e4,1,,1.5,0.821167,,200
mmh0lpcdm9wdcu,2,,3.0,0.997222,,200
mmh0m3latwun95,1,,1.0,0.688873,,200
mmh0mm0schxk59,1,,0.01,0.709454,,200
mmh0mmptqfyu87,6,,1.5,0.708622,,200
mmh0nnjg95y0zn,5,,0.75,0.566145,,200
mmh0ocgvf4p325,5,,1.5,0.804774,,200
mmh0opq734nw1a,2,,0.1,0.900558,,200
mmh0ozswma6i3j,3,,0.5,0.823993,,200
mmh0pa4lgnz2nd,6,,0.1,0.754486,,200
mmh0pj6zqdvwmg,5,,0.01,0.74584,,200
mmh0pjhqfbciu8,1,,0.01,0.849756,,200
mmh0puch6r88f0,2,,0.01,0.912526,,200
mmh0r154h7irg3,2,,0.01,0.802749,,200
mmh0r34rqnesgg,4,,0.01,0.845793,,200
mmh0rqn6g1cadb,1,,0.01,0.764161,,200
mmh0tro0khha5x,2,,2.0,0.697395,,200
mmh0uacrkmrg83,3,,3.0,0.826047,,200
mmh0ueb9o9dis7,3,,0.01,0.815828,,200
mmh0vbvu4yn6l1,4,,0.75,0.61021,,200
mmh0vh7gck5q8n,5,,0.01,0.804187,,200
mmh0wavycmn4y3,3,,1.0,0.841871,,200
mmh0x9u4kgtvxn,2,,0.01,0.761427,,200
mmh0yegg0emahk,2,,0.5,0.935146,,200
mmh115pr1lsvkw,4,,0.01,0.688137,,200
mmh16ou0ocswzc,4,,2.0,0.815771,,200
mmh19xdl74m2p5,1,,0.01,0.665101,,200
mmh1cyh0ahaw8s,5,,0.1,0.837306,,200
mmh1eq07kkdfkw,3,,0.3,0.658182,,200
mmh1jfrxrszco0,1,,0.01,0.973181,,200
mmh1qje9negjr0,1,,0.5,0.863873,,200
mmh1sestgp7zew,2,,0.01,0.808943,,200
mmh1tezp242ppu,1,,0.01,0.720076,,200
mmh1wzqpu4iob1,2,,0.01,0.729354,,200
mmh250jg0prrne,1,,0.01,0.8553,,200
mmh28cu87aoonk,2,,0.01,0.934419,,200
